contestant_id,name,first_name,last_name,nick_name,hometown,photo_url
74527,Liz Herrin,Liz,Herrin,,"Big Spring, TX",
75502,Tammy Peterson,Tammy,Peterson,,"Woodward, OK",
75933,Nichole Nordahl,Nichole,Nordahl,,"Newkirk, OK",
77295,Denise Shipman,Denise,Shipman,,"Heavener, OK",
81802,Suni Olkjer,Suni,Olkjer,,"Elbert, CO",
89186,Tori Moss,Tori,Moss,,"Decatur, TX",
89760,Kim Squires,Kim,Squires,,"Carnegie, OK",
90666,Tiffany Teehee,Tiffany,Teehee,,"Claremore, OK",
93927,Skyla Peters,Skyla,Peters,,"Liberal, KS",
96493,Brittany Rose,Brittany,Rose,,"Jasper, MO",
96821,Randi Holliday,Randi,Holliday,,"Chouteau, OK",
98021,Leslie Smalygo,Leslie,Smalygo,,"Skiatook, OK",/images/2024/11/26/Smalygo_Leslie.png
104488,Kallie Gates,Kallie,Gates,,"Hydro, OK",
105786,Raelin Jurgens,Raelin,Jurgens,,"Parker, SD",
105915,Jennifer Baker,Jennifer,Baker,,"Garden City, KS",
107444,Kylie Kanngiesser,Kylie,Kanngiesser,,"Attica, KS",
107766,Sarah Hossle,Sarah,Hossle,,"Winner, SD",
107941,Emily Ward,Emily,Ward,,"Miles, TX",
108160,Libby Hoelting,Libby,Hoelting,,"Olpe, KS",
108664,Lakota Elkins,Lakota,Elkins,,"Cuba, MO",
109977,Sommer Creasy,Sommer,Creasy,,"Los Lunas, NM",
110098,Aniko Nelson,Aniko,Nelson,,"Nocona, TX",
110127,Lauren England,Lauren,England,,"Duncan, OK",
110345,Devon Brown,Devon,Brown,,"Stratford, OK",
110586,Keylee Zancanella,Keylee,Zancanella,,"Aurora, SD",
110684,Kaden Burger,Kaden,Burger,,"Pauls Valley, OK",
111283,Marlee Quarles,Marlee,Quarles,,"Pampa, TX",
111422,Hatten Kleeman,Hatten,Kleeman,,"Hay Springs, NE",
111734,Audrey Boyle,Audrey,Boyle,,"Bucyrus, KS",
111956,Sidney Spanel,Sidney,Spanel,,"Vinita, OK",
113194,Jacy Daughenbaugh,Jacy,Daughenbaugh,,"Shallowater, TX",
113239,Sherry Assmann,Sherry,Assmann,,"Cheyenne, OK",
113420,Brittney Baker,Brittney,Baker,,"Olin, NC",
113504,Skyler Sutton,Skyler,Sutton,,"Stephenville, TX",
113751,Ashlee Grinstead,Ashlee,Grinstead,,"Rago, KS",
114233,Marley Eaves,Marley,Eaves,,"Inola, OK",
73650,Sandy McElreath,Sandy,McElreath,,"Cimarron, KS",
93752,Jody McKay,Jody,McKay,,"Red Oak, OK",
113216,Emma Smith,Emma,Smith,,"Pleasanton, TX",
74305,Tara Carr,Tara,Carr,,"Sudan, TX",
74741,Brittany Fellows,Brittany,Fellows,,"Loveland, CO",
90704,Lori Wooten,Lori,Wooten,,"Ft. Towson, OK",
92532,Cierra Nelson,Cierra,Nelson,,"Kiowa, OK",
100809,Cacee Hendrick,Cacee,Hendrick,,"Drumright, OK",
105333,Jetti Lorenz,Jetti,Lorenz,,"Canyon, TX",
74861,Carley Cervi,Carley,Cervi,,"Roggen, CO",
97848,Summer Kosel,Summer,Kosel,,"Glenham, SD",
98036,Chelsea Moore,Chelsea,Moore,,"Rose Hill, KS",/images/2025/3/19/Chelsea_Moore.png
102866,Riley Shetron,Riley,Shetron,,"Shippensburg, PA",
104340,Andee Haden,Andee,Haden,,"Bentonville, AR",
108134,Brittney Hipp,Brittney,Hipp,,"Tuttle, OK",
110897,Maya Zerbe,Maya,Zerbe,,"Womelsdorf, PA",
114291,Cecilia Winkler,Cecilia,Winkler,,"Woodbine, MD",
73876,Annie Campbell,Annie,Campbell,,"Torrington, WY",
74276,Jean Winters,Jean,Winters,,"Texline, TX",
90290,Michelle Noterman,Michelle,Noterman,,"Wayne, OK",
94781,Torrie Edge,Torrie,Edge,,"Durant, OK",
99975,Paige Jones,Paige,Jones,,"Wayne, OK",
102996,Bailey Witt,Bailey,Witt,,"Valentine, NE",
105849,Loralee Ward,Loralee,Ward,,"Fort Lupton, CO",
